UEI,DUNS,City,State,Zip Code,Legislative District
QUJ8BQ1CFAS2,102429643,BALTIMORE,MD,21212,MD-02
NMDVSFDSVCB4,969638274,GREENSBORO,NC,27401,NC-06
LDHKC12HSJ86,117131092,RALEIGH,NC,27614,NC-02
VF8ZC4A4ZWL9,080562947,GRAND FORKS,ND,58202,ND-00
DAF9XL6P2BG5,053776397,CHAPEL HILL,NC,27516,NC-04
X854ZJDHWHJ5,016990771,CARNEGIE,PA,15106,PA-17
D6P3UNRMJU97,117135816,BEND,OR,97701,OR-05
E8DMQP3A2W74,,SOUTH BEND,IN,46617,IN-02
LL34B99KR2R4,078712611,AUSTIN,TX,78736,TX-21
PLRXAUJRGGT8,118922413,TORRANCE,CA,90503,CA-36
Y3M9AQF9LKJ4,117322893,LARAMIE,WY,82070,WY-00
UFHYM6EJN7L3,081262454,BALTIMORE,MD,21205,MD-07
LM98CNVAUTG5,117200978,SHOREHAM,NY,11786,NY-01
ESP6ZKMSMQK8,080290127,STARKVILLE,MS,39759,MS-03
L28FVGJ715D7,105269595,BALTIMORE,MD,21215,MD-07
JBJ7EF1MD9P1,,CARRBORO,NC,27510,NC-04
U3VRD1T9Q6H9,,GAINESVILLE,FL,32601,FL-03
QH88DLKTLQM6,117497549,FREDERICK,MD,21704,MD-06
GGR9ABCTBGG5,968756119,SAN JUAN,PR,909,PR-98
ZWK6WMUV43G5,,CLARKSBURG,MD,20871,MD-06
FE9HTJ2TLGY5,079882306,KENSINGTON,MD,20895,MD-08
P25AZ6WDJ589,080531842,LANHAM,MD,20706,MD-04
QTYLAVN4EJR6,,WOODS HOLE,MA,2543,MA-09
